LOCATION,Year,Exports
AUS,2010,21.4374194076014
AUS,2011,21.4993440769616
AUS,2012,19.9857077588126
AUS,2013,21.0963738828485
AUS,2014,20.0680710032927
AUS,2015,19.272258011581
AUS,2016,21.231183492644
AUS,2017,21.8734041196439
AUS,2018,24.1515391092117
AUS,2019,24.0082830210698
AUS,2020,22.0751685117277
AUS,2021,25.8121626590318
AUT,2010,51.2621603273359
AUT,2011,53.9486708516394
AUT,2012,53.9736761965302
AUT,2013,53.4412932967224
AUT,2014,53.3865790462424
AUT,2015,53.0890605587958
AUT,2016,52.4063936498056
AUT,2017,54.0511531414978
AUT,2018,55.4622191178234
AUT,2019,55.7572063557543
AUT,2020,51.6128149281413
AUT,2021,55.9003086234408
AUT,2022,60.7891206732362
BEL,2010,75.8500644792464
BEL,2011,80.6973629124622
BEL,2012,80.4044905064987
BEL,2013,79.3243484015476
BEL,2014,79.801009073623
BEL,2015,77.8052821516798
BEL,2016,79.4296154739536
BEL,2017,83.1824102499921
BEL,2018,83.0796294670067
BEL,2019,82.3971992752511
BEL,2020,79.4465488572451
BEL,2021,86.8267422004768
BEL,2022,95.3284720419935
CAN,2010,29.1673469191764
CAN,2011,30.6783919173107
CAN,2012,30.3530919696301
CAN,2013,30.3319705590283
CAN,2014,31.7365599644694
CAN,2015,31.8499769649038
CAN,2016,31.5025413039024
CAN,2017,31.4544101509781
CAN,2018,32.3253603497825
CAN,2019,32.3526958202565
CAN,2020,29.6808453346886
CAN,2021,30.9139877064956
CAN,2022,33.7184874326734
CZE,2010,65.5430054071382
CZE,2011,70.8218671927368
CZE,2012,75.6461865650325
CZE,2013,76.0583816157677
CZE,2014,81.9542745743788
CZE,2015,80.5587781149995
CZE,2016,79.1070766309635
CZE,2017,79.0271394981121
CZE,2018,76.9435759590934
CZE,2019,73.8797803262645
CZE,2020,69.9487715380852
CZE,2021,72.7282340956374
CZE,2022,74.8392849495541
DNK,2010,50.5229276395878
DNK,2011,53.8201489280677
DNK,2012,54.6304940173438
DNK,2013,54.8288189867113
DNK,2014,54.6131394364014
DNK,2015,55.418174402012
DNK,2016,53.4259805224841
DNK,2017,55.0773767829077
DNK,2018,56.5598044910739
DNK,2019,58.6471822154845
DNK,2020,54.9296212640352
DNK,2021,59.6585396818304
DNK,2022,69.3139816042177
FIN,2010,38.4143975593033
FIN,2011,38.900392933262
FIN,2012,38.8082790730065
FIN,2013,38.0176291228019
FIN,2014,36.4814376235518
FIN,2015,35.4069588665232
FIN,2016,34.8104524683015
FIN,2017,37.5495468424797
FIN,2018,38.4687872116233
FIN,2019,39.8806794019795
FIN,2020,35.7875633302246
FIN,2021,39.5516253381964
FIN,2022,44.8914237716506
FRA,2010,26.7882998402738
FRA,2011,28.4213374764194
FRA,2012,29.2030271868495
FRA,2013,29.3647378670492
FRA,2014,29.666684498073
FRA,2015,30.5926223781313
FRA,2016,30.2475371833945
FRA,2017,30.9486331871
FRA,2018,31.7136672102555
FRA,2019,31.5920554143668
FRA,2020,27.4502276377653
FRA,2021,29.4487518343616
FRA,2022,34.0127739939978
DEU,2010,42.565473405085
DEU,2011,45.0571362806101
DEU,2012,46.3071201430804
DEU,2013,45.4186778593914
DEU,2014,45.6192633128717
DEU,2015,46.920738356608
DEU,2016,46.0732628543356
DEU,2017,47.1630406836519
DEU,2018,47.3088591421652
DEU,2019,46.6696129860707
DEU,2020,43.0131290321633
DEU,2021,47.030554591518
DEU,2022,50.3378544368446
GRC,2010,21.7981020950377
GRC,2011,25.4897745254611
GRC,2012,28.742579058835
GRC,2013,30.2072067244863
GRC,2014,32.4855969863948
GRC,2015,32.1271587694986
GRC,2016,31.2874545226418
GRC,2017,35.0340921129943
GRC,2018,38.9929040453993
GRC,2019,40.109930458883
GRC,2020,31.9884493287975
GRC,2021,40.8740027431242
GRC,2022,48.7371823274155
HUN,2010,81.107304239429
HUN,2011,86.0776968359815
HUN,2012,85.8794009552351
HUN,2013,85.4108225108653
HUN,2014,87.1234667634739
HUN,2015,87.5264509328171
HUN,2016,86.4047382876954
HUN,2017,85.919564059938
HUN,2018,83.7553158559384
HUN,2019,81.5297406120423
HUN,2020,78.7060333455852
HUN,2021,80.253238025139
HUN,2022,90.3778374035367
ISL,2010,51.7462338284556
ISL,2011,54.545536257559
ISL,2012,54.9260547124821
ISL,2013,53.2477515412858
ISL,2014,51.5190979391844
ISL,2015,51.6517214586412
ISL,2016,47.4840362975099
ISL,2017,45.7322400083273
ISL,2018,46.0467623930641
ISL,2019,43.6728526725985
ISL,2020,33.2301547557313
ISL,2021,37.3710398876031
ISL,2022,46.3143323364631
IRL,2010,103.242933058191
IRL,2011,103.256202412474
IRL,2012,104.416732873127
IRL,2013,104.008518098878
IRL,2014,110.121635633255
IRL,2015,122.096239899859
IRL,2016,121.695568397728
IRL,2017,121.016883314109
IRL,2018,122.784715176832
IRL,2019,127.879646009713
IRL,2020,133.337202057818
IRL,2021,134.414792675835
IRL,2022,136.951093698858
ITA,2010,25.0740498513169
ITA,2011,26.8724634660876
ITA,2012,28.3792428359574
ITA,2013,28.6332430796987
ITA,2014,29.1088281864091
ITA,2015,29.7159823723612
ITA,2016,29.3278907466434
ITA,2017,30.733733319636
ITA,2018,31.3535542007886
ITA,2019,31.6024197276206
ITA,2020,29.4361735220632
ITA,2021,32.6934017215877
ITA,2022,37.1496143631398
JPN,2010,14.9185034496428
