LOCATION,SUBJECT,Year,Housing
AUS,NOMINAL,2010-Q2,81.4261935821938
AUS,NOMINAL,2010-Q3,80.9796334595654
AUS,NOMINAL,2010-Q4,80.8627179202278
AUS,NOMINAL,2011-Q1,80.5304549195656
AUS,NOMINAL,2011-Q2,79.6335394948463
AUS,NOMINAL,2011-Q3,78.8051241980096
AUS,NOMINAL,2011-Q4,77.5698813875788
AUS,NOMINAL,2012-Q1,78.4316676349275
AUS,NOMINAL,2012-Q2,78.3973966980504
AUS,NOMINAL,2012-Q3,78.7834406558593
AUS,NOMINAL,2012-Q4,79.9084950111631
AUS,NOMINAL,2013-Q1,80.9028627167299
AUS,NOMINAL,2013-Q2,82.5447350671651
AUS,NOMINAL,2013-Q3,85.1085218960595
AUS,NOMINAL,2013-Q4,87.8698803200459
AUS,NOMINAL,2014-Q1,89.6660124164859
AUS,NOMINAL,2014-Q2,90.8892907503055
AUS,NOMINAL,2014-Q3,92.5285622681036
AUS,NOMINAL,2014-Q4,93.7971345651058
AUS,NOMINAL,2015-Q1,95.8900682506266
AUS,NOMINAL,2015-Q2,99.8031014858631
AUS,NOMINAL,2015-Q3,102.38724465102
AUS,NOMINAL,2015-Q4,101.91958561249
AUS,NOMINAL,2016-Q1,102.399865234696
AUS,NOMINAL,2016-Q2,103.910371532003
AUS,NOMINAL,2016-Q3,105.991327069441
AUS,NOMINAL,2016-Q4,109.69843616386
AUS,NOMINAL,2017-Q1,112.784290587843
AUS,NOMINAL,2017-Q2,114.528162766788
AUS,NOMINAL,2017-Q3,114.794434330482
AUS,NOMINAL,2017-Q4,115.126112314887
AUS,NOMINAL,2018-Q1,114.967777992617
AUS,NOMINAL,2018-Q2,113.886972081078
AUS,NOMINAL,2018-Q3,112.613182946511
AUS,NOMINAL,2018-Q4,109.187066979793
AUS,NOMINAL,2019-Q1,106.415825087371
AUS,NOMINAL,2019-Q2,105.51180595031
AUS,NOMINAL,2019-Q3,108.439552622665
AUS,NOMINAL,2019-Q4,111.967816339654
AUS,NOMINAL,2020-Q1,114.194714377832
AUS,NOMINAL,2020-Q2,112.114763456488
AUS,NOMINAL,2020-Q3,113.291814817666
AUS,NOMINAL,2020-Q4,116.064707348014
AUS,NOMINAL,2021-Q1,122.704304855926
AUS,NOMINAL,2021-Q2,130.914701906089
AUS,NOMINAL,2021-Q3,137.878344447792
AUS,NOMINAL,2021-Q4,143.557648786141
AUT,NOMINAL,2010-Q2,76.3190771785522
AUT,NOMINAL,2010-Q3,77.780997259188
AUT,NOMINAL,2010-Q4,79.1154657792779
AUT,NOMINAL,2011-Q1,79.0229586319999
AUT,NOMINAL,2011-Q2,80.8138161913805
AUT,NOMINAL,2011-Q3,82.2744646252939
AUT,NOMINAL,2011-Q4,84.2787605513262
AUT,NOMINAL,2012-Q1,85.6361225364382
AUT,NOMINAL,2012-Q2,86.4425226694386
AUT,NOMINAL,2012-Q3,88.3226621427964
AUT,NOMINAL,2012-Q4,89.8786926513271
AUT,NOMINAL,2013-Q1,90.5647477170651
AUT,NOMINAL,2013-Q2,91.3737420535379
AUT,NOMINAL,2013-Q3,93.5326225925771
AUT,NOMINAL,2013-Q4,92.9288876368203
AUT,NOMINAL,2014-Q1,94.5399324051798
AUT,NOMINAL,2014-Q2,95.343115496111
AUT,NOMINAL,2014-Q3,94.1772076285783
AUT,NOMINAL,2014-Q4,97.2597444701313
AUT,NOMINAL,2015-Q1,94.0711190223355
AUT,NOMINAL,2015-Q2,99.3319770804122
AUT,NOMINAL,2015-Q3,103.217194098476
AUT,NOMINAL,2015-Q4,103.379709798776
AUT,NOMINAL,2016-Q1,106.732231931796
AUT,NOMINAL,2016-Q2,108.230459112333
AUT,NOMINAL,2016-Q3,108.840174002145
AUT,NOMINAL,2016-Q4,110.327134953726
AUT,NOMINAL,2017-Q1,111.808336952006
AUT,NOMINAL,2017-Q2,113.641304242717
AUT,NOMINAL,2017-Q3,114.365001923717
AUT,NOMINAL,2017-Q4,117.22535688156
AUT,NOMINAL,2018-Q1,117.819103211849
AUT,NOMINAL,2018-Q2,117.984456776177
AUT,NOMINAL,2018-Q3,120.068111922249
AUT,NOMINAL,2018-Q4,122.688328089725
AUT,NOMINAL,2019-Q1,122.703792273989
AUT,NOMINAL,2019-Q2,126.00148379845
AUT,NOMINAL,2019-Q3,127.456083167653
AUT,NOMINAL,2019-Q4,130.238640759907
AUT,NOMINAL,2020-Q1,132.211234095064
AUT,NOMINAL,2020-Q2,134.699574806132
AUT,NOMINAL,2020-Q3,138.170760109115
AUT,NOMINAL,2020-Q4,140.163430989689
AUT,NOMINAL,2021-Q1,145.041703458479
AUT,NOMINAL,2021-Q2,150.71084897004
AUT,NOMINAL,2021-Q3,155.409326006203
AUT,NOMINAL,2021-Q4,161.888121565278
AUT,NOMINAL,2022-Q1,166.304422485658
AUT,NOMINAL,2022-Q2,169.218902429394
AUT,NOMINAL,2022-Q3,173.875710406927
AUT,NOMINAL,2022-Q4,174.780964686063
