LOCATION,INDICATOR,TIME,Savings
AUT,HHSAV,2010,9.59183079078251
AUT,HHSAV,2011,7.88123256906157
AUT,HHSAV,2012,8.86254800930253
AUT,HHSAV,2013,7.1132177811741
AUT,HHSAV,2014,7.29640193215769
AUT,HHSAV,2015,6.73666489091466
AUT,HHSAV,2016,7.82043162856032
AUT,HHSAV,2017,7.51743208247045
AUT,HHSAV,2018,7.7349049691254
AUT,HHSAV,2019,8.59388009201782
AUT,HHSAV,2020,13.3409400713256
AUT,HHSAV,2021,11.976044260749
BEL,HHSAV,2010,9.25756707954232
BEL,HHSAV,2011,8.34967775438769
BEL,HHSAV,2012,7.86810855002538
BEL,HHSAV,2013,6.57913642488806
BEL,HHSAV,2014,6.40555612582685
BEL,HHSAV,2015,5.52605837659284
BEL,HHSAV,2016,5.44057453029431
BEL,HHSAV,2017,5.36902382661816
BEL,HHSAV,2018,4.6590318272183
BEL,HHSAV,2019,5.49470034659199
BEL,HHSAV,2020,14.2141758148403
BEL,HHSAV,2021,10.3188432240113
CZE,HHSAV,2010,7.98127183327891
CZE,HHSAV,2011,6.59414103220359
CZE,HHSAV,2012,6.88682196687488
CZE,HHSAV,2013,6.36126235767105
CZE,HHSAV,2014,7.39601591868682
CZE,HHSAV,2015,7.03628095686602
CZE,HHSAV,2016,6.28056491151251
CZE,HHSAV,2017,6.99996694847575
CZE,HHSAV,2018,7.54181385332665
CZE,HHSAV,2019,8.53656726487653
CZE,HHSAV,2020,14.7250345224566
CZE,HHSAV,2021,14.7821811980149
DNK,HHSAV,2010,1.83706415835001
DNK,HHSAV,2011,0.79963499067298
DNK,HHSAV,2012,0.122214384216133
DNK,HHSAV,2013,2.33988684162496
DNK,HHSAV,2014,-2.89805753605089
DNK,HHSAV,2015,3.90863198381378
DNK,HHSAV,2016,5.61316419164871
DNK,HHSAV,2017,6.03360309966319
DNK,HHSAV,2018,5.42460099433151
DNK,HHSAV,2019,4.28351761001684
DNK,HHSAV,2020,5.73864992349052
DNK,HHSAV,2021,3.18137689238974
DNK,HHSAV,2022,8.3921110974305
FIN,HHSAV,2010,3.26677347504982
FIN,HHSAV,2011,1.05282947922542
FIN,HHSAV,2012,0.35219987342817
FIN,HHSAV,2013,0.94750686696431
FIN,HHSAV,2014,-0.002659574468085
FIN,HHSAV,2015,-0.464174781000244
FIN,HHSAV,2016,-1.38896038159949
FIN,HHSAV,2017,-0.933818840822902
FIN,HHSAV,2018,-0.84050023189019
FIN,HHSAV,2019,0.361943748567635
FIN,HHSAV,2020,4.66667710666019
FIN,HHSAV,2021,2.49319092893502
FIN,HHSAV,2022,-1.74497730499584
FRA,HHSAV,2010,10.4531314479273
FRA,HHSAV,2011,9.94334367788653
FRA,HHSAV,2012,9.99733843178511
FRA,HHSAV,2013,8.5215837152381
FRA,HHSAV,2014,8.85563975396751
FRA,HHSAV,2015,8.3280675806316
FRA,HHSAV,2016,8.18294459978975
FRA,HHSAV,2017,8.36969154689083
FRA,HHSAV,2018,8.66242659553179
FRA,HHSAV,2019,9.2142156467708
FRA,HHSAV,2020,15.4602081824703
FRA,HHSAV,2021,12.8065342784152
DEU,HHSAV,2010,10.3067972157926
DEU,HHSAV,2011,10.020736030819
DEU,HHSAV,2012,9.6518936129149
DEU,HHSAV,2013,9.28901313956851
DEU,HHSAV,2014,9.83621301474942
DEU,HHSAV,2015,10.0637420827351
DEU,HHSAV,2016,10.1962662600368
DEU,HHSAV,2017,10.643063003578
DEU,HHSAV,2018,11.2943739347448
DEU,HHSAV,2019,10.781325513753
DEU,HHSAV,2020,16.4166589433532
DEU,HHSAV,2021,15.1224255137728
DEU,HHSAV,2022,11.3849949735467
GRC,HHSAV,2010,-4.11580294160234
GRC,HHSAV,2011,-9.1027659436596
GRC,HHSAV,2012,-15.2194935369534
GRC,HHSAV,2013,-17.2451903851053
GRC,HHSAV,2014,-13.5994988326647
GRC,HHSAV,2015,-11.5546355444763
GRC,HHSAV,2016,-11.0556260297963
GRC,HHSAV,2017,-14.2002296218462
GRC,HHSAV,2018,-14.7039353677582
GRC,HHSAV,2019,-10.0778724646334
GRC,HHSAV,2020,-5.05636899540526
GRC,HHSAV,2021,-3.09567418064193
HUN,HHSAV,2010,5.98695888724809
HUN,HHSAV,2011,6.53074932379257
HUN,HHSAV,2012,4.87420588436082
HUN,HHSAV,2013,6.8742634383853
HUN,HHSAV,2014,7.51227864241348
HUN,HHSAV,2015,7.33591048648427
HUN,HHSAV,2016,7.00586614887334
HUN,HHSAV,2017,8.09564354653129
HUN,HHSAV,2018,10.8566818650578
HUN,HHSAV,2019,10.4166060521921
HUN,HHSAV,2020,10.9099414912536
HUN,HHSAV,2021,13.0665241074064
IRL,HHSAV,2010,9.82072137772557
IRL,HHSAV,2011,5.01187041990517
IRL,HHSAV,2012,6.80706721431435
IRL,HHSAV,2013,4.56848910599984
IRL,HHSAV,2014,2.366059793838
IRL,HHSAV,2015,3.31487770833801
IRL,HHSAV,2016,2.4429516807505
IRL,HHSAV,2017,5.582127779003
IRL,HHSAV,2018,4.78321014945881
IRL,HHSAV,2019,5.72885384733619
IRL,HHSAV,2020,21.6106458315973
IRL,HHSAV,2021,20.2338628031051
ITA,HHSAV,2010,3.93446266911294
ITA,HHSAV,2011,3.4072931301035
ITA,HHSAV,2012,1.47339175274258
ITA,HHSAV,2013,3.29316737627115
ITA,HHSAV,2014,3.69112440676579
ITA,HHSAV,2015,2.8862380106133
ITA,HHSAV,2016,3.00370393554806
ITA,HHSAV,2017,2.56167969812546
ITA,HHSAV,2018,2.54325907915063
ITA,HHSAV,2019,2.40189260553387
ITA,HHSAV,2020,10.2257858873459
ITA,HHSAV,2021,7.55849395241995
ITA,HHSAV,2022,2.10635671385744
LUX,HHSAV,2010,5.4893622538279
LUX,HHSAV,2011,6.14877375145323
LUX,HHSAV,2012,6.38408933619547
LUX,HHSAV,2013,9.86878407310129
LUX,HHSAV,2014,9.74722512196681
LUX,HHSAV,2015,7.38505218328558
LUX,HHSAV,2016,5.96033959478304
LUX,HHSAV,2017,7.41497381596363
LUX,HHSAV,2018,6.56016221020665
LUX,HHSAV,2019,8.28263594397593
LUX,HHSAV,2020,19.0333393581886
LUX,HHSAV,2021,12.3866996850432
NLD,HHSAV,2010,6.28409395172087
NLD,HHSAV,2011,7.22231773071814
NLD,HHSAV,2012,8.95367825705979
NLD,HHSAV,2013,9.21230361983156
NLD,HHSAV,2014,10.5241023559755
NLD,HHSAV,2015,10.1804678582265
NLD,HHSAV,2016,10.7813523340636
NLD,HHSAV,2017,9.27310027445871
