LOCATION,Year,unemployment
AUT,2010,5.191667
AUT,2011,4.9
AUT,2012,5.191667
AUT,2013,5.725
AUT,2014,6.033333
AUT,2015,6.15
AUT,2016,6.45
AUT,2017,5.925
AUT,2018,5.208333
AUT,2019,4.841667
AUT,2020,6.025
AUT,2021,6.2
AUT,2022,4.758333
BEL,2010,8.375
BEL,2011,7.216667
BEL,2012,7.633333
BEL,2013,8.55
BEL,2014,8.658334
BEL,2015,8.65
BEL,2016,7.85
BEL,2017,7.1
BEL,2018,5.958333
BEL,2019,5.366667
BEL,2020,5.541667
BEL,2021,6.275
BEL,2022,5.575
CZE,2010,7.291667
CZE,2011,6.716667
CZE,2012,6.975
CZE,2013,6.966667
CZE,2014,6.116667
CZE,2015,5.058333
CZE,2016,3.966667
CZE,2017,2.908333
CZE,2018,2.266667
CZE,2019,2.016667
CZE,2020,2.55
CZE,2021,2.808333
CZE,2022,2.4
DNK,2010,7.75
DNK,2011,7.758333
DNK,2012,7.783333
DNK,2013,7.375
DNK,2014,6.925
DNK,2015,6.266667
DNK,2016,5.983333
DNK,2017,5.816667
DNK,2018,5.15
DNK,2019,5.025
DNK,2020,5.625
DNK,2021,5.1
DNK,2022,4.475
FIN,2010,8.541667
FIN,2011,7.966667
FIN,2012,7.808333
FIN,2013,8.3
FIN,2014,8.75
FIN,2015,9.458333
FIN,2016,8.916667
FIN,2017,8.766666
FIN,2018,7.433333
FIN,2019,6.741667
FIN,2020,7.725
FIN,2021,7.675
FIN,2022,6.766667
FRA,2010,9.275
FRA,2011,9.216666
FRA,2012,9.758333
FRA,2013,10.3
FRA,2014,10.275
FRA,2015,10.35
FRA,2016,10.06667
FRA,2017,9.425
FRA,2018,9.025
FRA,2019,8.433333
FRA,2020,8.033334
FRA,2021,7.875
FRA,2022,7.316667
DEU,2010,6.575
DEU,2011,5.516667
DEU,2012,5.083333
DEU,2013,4.95
DEU,2014,4.708333
DEU,2015,4.366667
DEU,2016,3.908333
DEU,2017,3.566667
DEU,2018,3.208333
DEU,2019,2.975
DEU,2020,3.625
DEU,2021,3.575
DEU,2022,3.066667
GRC,2010,12.95833
GRC,2011,18.09167
GRC,2012,24.80833
GRC,2013,27.825
GRC,2014,26.65
GRC,2015,24.98333
GRC,2016,23.875
GRC,2017,21.84167
GRC,2018,19.74167
GRC,2019,17.88333
GRC,2020,17.61667
GRC,2021,14.79167
GRC,2022,12.45833
HUN,2010,10.8
HUN,2011,10.65833
HUN,2012,10.58333
HUN,2013,9.633333
HUN,2014,7.458333
HUN,2015,6.516667
HUN,2016,4.883333
HUN,2017,4.05
HUN,2018,3.525
HUN,2019,3.25
HUN,2020,4.141667
HUN,2021,4.041667
HUN,2022,3.616667
IRL,2010,14.575
IRL,2011,15.40833
IRL,2012,15.48333
IRL,2013,13.775
IRL,2014,11.88333
IRL,2015,9.925
IRL,2016,8.408334
IRL,2017,6.733333
IRL,2018,5.775
IRL,2019,4.975
IRL,2020,5.85
IRL,2021,6.266667
IRL,2022,4.5
ITA,2010,8.541667
ITA,2011,8.508333
ITA,2012,10.88333
ITA,2013,12.36667
ITA,2014,12.825
ITA,2015,12
ITA,2016,11.75
