LOCATION,Year,GNI
AUS,2010,41099.911569
AUS,2011,43089.625865
AUS,2012,42793.330536
AUS,2013,46516.368344
AUS,2014,46639.607311
AUS,2015,46115.624328
AUS,2016,48775.931511
AUS,2017,49119.582443
AUS,2018,51254.090388
AUS,2019,51598.411675
AUS,2020,55154.538972
AUS,2021,59844.152765
AUT,2010,42370.492685
AUT,2011,44619.143494
AUT,2012,46524.585901
AUT,2013,48065.980083
AUT,2014,48877.877018
AUT,2015,49450.318805
AUT,2016,52661.118518
AUT,2017,53680.256398
AUT,2018,56398.368814
AUT,2019,59548.613171
AUT,2020,57766.534691
AUT,2021,60261.100147
BEL,2010,40447.969291
BEL,2011,41008.847549
BEL,2012,43271.819019
BEL,2013,44748.589693
BEL,2014,45872.684937
BEL,2015,46855.558957
BEL,2016,49065.357391
BEL,2017,50905.372269
BEL,2018,52995.77947
BEL,2019,56340.906308
BEL,2020,55100.791357
BEL,2021,59365.305438
CAN,2010,39306.965939
CAN,2011,40879.706167
CAN,2012,41540.466357
CAN,2013,43623.829964
CAN,2014,45014.460327
CAN,2015,43985.744064
CAN,2016,45904.592006
CAN,2017,47702.730871
CAN,2018,49142.810078
CAN,2019,49238.577384
CAN,2020,46858.259097
CAN,2021,52715.421783
CAN,2022,56487.724388
CZE,2010,25688.237623
CZE,2011,26659.370795
CZE,2012,27377.536102
CZE,2013,28870.330817
CZE,2014,30272.958882
CZE,2015,31583.657964
CZE,2016,33665.787906
CZE,2017,36643.674326
CZE,2018,38897.897551
CZE,2019,41550.463726
CZE,2020,40682.895664
CZE,2021,42980.550812
DNK,2010,43709.604232
DNK,2011,45344.367171
DNK,2012,45820.387616
DNK,2013,48223.000169
DNK,2014,49648.01783
DNK,2015,50564.074167
DNK,2016,53244.41556
DNK,2017,56568.221029
DNK,2018,59076.193546
DNK,2019,61619.447517
DNK,2020,62812.707224
DNK,2021,67159.539624
DNK,2022,77802.563285
FIN,2010,39458.080139
FIN,2011,41073.289406
FIN,2012,41063.966306
FIN,2013,41663.300112
FIN,2014,42167.773015
FIN,2015,42908.108009
FIN,2016,45139.000715
