Year,Country Name,Indicator Name,Value
2010,Austria,Inflation,1.813532
2011,Austria,Inflation,3.286583
2012,Austria,Inflation,2.485675
2013,Austria,Inflation,2.000158
2014,Austria,Inflation,1.605806
2015,Austria,Inflation,0.8965653
2016,Austria,Inflation,0.8915924
2017,Austria,Inflation,2.081269
2018,Austria,Inflation,1.998382
2019,Austria,Inflation,1.530896
2020,Austria,Inflation,1.381909
2021,Austria,Inflation,2.766667
2022,Austria,Inflation,8.54687
2010,Belgium,Inflation,2.189299
2011,Belgium,Inflation,3.532082
2012,Belgium,Inflation,2.839664
2013,Belgium,Inflation,1.113096
2014,Belgium,Inflation,0.3400028
2015,Belgium,Inflation,0.5614291
2016,Belgium,Inflation,1.973853
2017,Belgium,Inflation,2.125971
2018,Belgium,Inflation,2.053165
2019,Belgium,Inflation,1.43682
2020,Belgium,Inflation,0.7407918
2021,Belgium,Inflation,2.440248
2022,Belgium,Inflation,9.597511
2010,Denmark,Inflation,2.310924
2011,Denmark,Inflation,2.758682
2012,Denmark,Inflation,2.397915
2013,Denmark,Inflation,0.7890718
2014,Denmark,Inflation,0.5640205
2015,Denmark,Inflation,0.4520341
2016,Denmark,Inflation,0.25
2017,Denmark,Inflation,1.147132
2018,Denmark,Inflation,0.8136095
2019,Denmark,Inflation,0.7581316
2020,Denmark,Inflation,0.420712
2021,Denmark,Inflation,1.853045
2022,Denmark,Inflation,7.696567
2010,Finland,Inflation,1.184135
2011,Finland,Inflation,3.416809
2012,Finland,Inflation,2.808332
2013,Finland,Inflation,1.478288
2014,Finland,Inflation,1.0412
2015,Finland,Inflation,-0.207932
2016,Finland,Inflation,0.3566845
2017,Finland,Inflation,0.754015
2018,Finland,Inflation,1.083821
2019,Finland,Inflation,1.024094
2020,Finland,Inflation,0.2905546
2021,Finland,Inflation,2.194574
2022,Finland,Inflation,7.123507
2010,France,Inflation,1.531123
2011,France,Inflation,2.111598
2012,France,Inflation,1.954195
2013,France,Inflation,0.8637155
2014,France,Inflation,0.5077588
2015,France,Inflation,0.03751438
2016,France,Inflation,0.1833349
2017,France,Inflation,1.032283
2018,France,Inflation,1.850815
2019,France,Inflation,1.108255
2020,France,Inflation,0.4764988
2021,France,Inflation,1.642331
2022,France,Inflation,5.222367
2010,Germany,Inflation,1.103809
2011,Germany,Inflation,2.075173
2012,Germany,Inflation,2.008491
2013,Germany,Inflation,1.504722
2014,Germany,Inflation,0.9067971
2015,Germany,Inflation,0.514421
