LOCATION,Year,Fertility
AUT,2010,1.44
AUT,2011,1.43
AUT,2012,1.44
AUT,2013,1.44
AUT,2014,1.46
AUT,2015,1.49
AUT,2016,1.53
AUT,2017,1.52
AUT,2018,1.48
AUT,2019,1.46
AUT,2020,1.44
AUT,2021,1.48
BEL,2010,1.86
BEL,2011,1.81
BEL,2012,1.8
BEL,2013,1.76
BEL,2014,1.74
BEL,2015,1.7
BEL,2016,1.68
BEL,2017,1.65
BEL,2018,1.62
BEL,2019,1.6
BEL,2020,1.55
BEL,2021,1.6
CZE,2010,1.49
CZE,2011,1.43
CZE,2012,1.45
CZE,2013,1.46
CZE,2014,1.53
CZE,2015,1.57
CZE,2016,1.63
CZE,2017,1.69
CZE,2018,1.71
CZE,2019,1.71
CZE,2020,1.71
CZE,2021,1.83
DNK,2010,1.87
DNK,2011,1.75
DNK,2012,1.73
DNK,2013,1.67
DNK,2014,1.69
DNK,2015,1.71
DNK,2016,1.79
DNK,2017,1.75
DNK,2018,1.73
DNK,2019,1.7
DNK,2020,1.67
DNK,2021,1.72
DNK,2022,1.55
FIN,2010,1.87
FIN,2011,1.83
FIN,2012,1.8
FIN,2013,1.75
FIN,2014,1.71
FIN,2015,1.65
FIN,2016,1.57
FIN,2017,1.49
FIN,2018,1.41
FIN,2019,1.35
FIN,2020,1.37
FIN,2021,1.46
FRA,2010,2.02
FRA,2011,2
FRA,2012,1.99
FRA,2013,1.97
FRA,2014,1.97
FRA,2015,1.93
FRA,2016,1.89
FRA,2017,1.86
FRA,2018,1.84
FRA,2019,1.83
FRA,2020,1.79
FRA,2021,1.8
DEU,2010,1.39
DEU,2011,1.39
DEU,2012,1.41
DEU,2013,1.42
DEU,2014,1.47
DEU,2015,1.5
DEU,2016,1.59
DEU,2017,1.57
DEU,2018,1.57
DEU,2019,1.54
DEU,2020,1.53
DEU,2021,1.58
GRC,2010,1.48
GRC,2011,1.4
GRC,2012,1.34
GRC,2013,1.29
GRC,2014,1.3
GRC,2015,1.33
GRC,2016,1.38
GRC,2017,1.35
GRC,2018,1.35
GRC,2019,1.34
GRC,2020,1.39
GRC,2021,1.43
HUN,2010,1.26
HUN,2011,1.24
HUN,2012,1.34
HUN,2013,1.34
HUN,2014,1.41
HUN,2015,1.44
HUN,2016,1.49
HUN,2017,1.49
HUN,2018,1.49
HUN,2019,1.49
HUN,2020,1.56
HUN,2021,1.59
HUN,2022,1.52
IRL,2010,2.05
IRL,2011,2.03
IRL,2012,1.98
IRL,2013,1.93
IRL,2014,1.89
IRL,2015,1.85
IRL,2016,1.82
IRL,2017,1.78
IRL,2018,1.75
IRL,2019,1.7
IRL,2020,1.63
IRL,2021,1.72
ITA,2010,1.44
ITA,2011,1.42
ITA,2012,1.42
ITA,2013,1.39
ITA,2014,1.38
ITA,2015,1.36
ITA,2016,1.36
ITA,2017,1.34
ITA,2018,1.31
ITA,2019,1.27
ITA,2020,1.24
ITA,2021,1.25
LUX,2010,1.63
LUX,2011,1.51
LUX,2012,1.57
LUX,2013,1.55
LUX,2014,1.5
LUX,2015,1.47
LUX,2016,1.41
LUX,2017,1.39
LUX,2018,1.38
LUX,2019,1.34
LUX,2020,1.36
LUX,2021,1.38
NLD,2010,1.8
NLD,2011,1.76
NLD,2012,1.72
NLD,2013,1.68
NLD,2014,1.71
NLD,2015,1.66
NLD,2016,1.66
NLD,2017,1.62
NLD,2018,1.59
NLD,2019,1.57
NLD,2020,1.54
NLD,2021,1.62
POL,2010,1.38
POL,2011,1.3
POL,2012,1.3
POL,2013,1.26
POL,2014,1.29
POL,2015,1.29
POL,2016,1.36
POL,2017,1.45
POL,2018,1.44
POL,2019,1.42
POL,2020,1.39
POL,2021,1.33
PRT,2010,1.39
PRT,2011,1.35
PRT,2012,1.29
PRT,2013,1.21
PRT,2014,1.23
PRT,2015,1.31
PRT,2016,1.36
PRT,2017,1.38
PRT,2018,1.42
PRT,2019,1.43
PRT,2020,1.41
PRT,2021,1.35
SVK,2010,1.4
SVK,2011,1.45
SVK,2012,1.34
SVK,2013,1.34
SVK,2014,1.37
SVK,2015,1.4
SVK,2016,1.48
SVK,2017,1.52
SVK,2018,1.54
SVK,2019,1.57
SVK,2020,1.59
SVK,2021,1.63
ESP,2010,1.37
ESP,2011,1.34
ESP,2012,1.32
ESP,2013,1.27
ESP,2014,1.32
ESP,2015,1.33
ESP,2016,1.34
ESP,2017,1.31
ESP,2018,1.26
ESP,2019,1.23
ESP,2020,1.19
ESP,2021,1.19
SWE,2010,1.98
SWE,2011,1.9
SWE,2012,1.91
SWE,2013,1.89
SWE,2014,1.88
SWE,2015,1.85
SWE,2016,1.85
SWE,2017,1.78
SWE,2018,1.75
SWE,2019,1.7
SWE,2020,1.66
SWE,2021,1.67
EST,2010,1.72
EST,2011,1.61
EST,2012,1.56
EST,2013,1.52
EST,2014,1.54
EST,2015,1.58
EST,2016,1.6
EST,2017,1.59
EST,2018,1.67
EST,2019,1.66
EST,2020,1.58
EST,2021,1.61
SVN,2010,1.57
SVN,2011,1.56
SVN,2012,1.58
SVN,2013,1.55
SVN,2014,1.58
SVN,2015,1.57
SVN,2016,1.58
SVN,2017,1.62
SVN,2018,1.6
SVN,2019,1.61
SVN,2020,1.59
SVN,2021,1.64
LVA,2010,1.36
LVA,2011,1.33
LVA,2012,1.44
LVA,2013,1.52
LVA,2014,1.65
LVA,2015,1.7
LVA,2016,1.74
LVA,2017,1.69
LVA,2018,1.6
LVA,2019,1.61
LVA,2020,1.55
LVA,2021,1.57
LTU,2010,1.5
LTU,2011,1.55
LTU,2012,1.6
LTU,2013,1.59
LTU,2014,1.63
LTU,2015,1.7
LTU,2016,1.69
LTU,2017,1.63
LTU,2018,1.63
LTU,2019,1.61
LTU,2020,1.48
LTU,2021,1.36
BGR,2010,1.57
BGR,2011,1.51
BGR,2012,1.5
BGR,2013,1.48
BGR,2014,1.53
BGR,2015,1.53
BGR,2016,1.54
BGR,2017,1.56
BGR,2018,1.56
BGR,2019,1.58
BGR,2020,1.56
BGR,2021,1.58
HRV,2010,1.55
HRV,2011,1.48
HRV,2012,1.51
HRV,2013,1.46
HRV,2014,1.46
HRV,2015,1.4
HRV,2016,1.42
HRV,2017,1.42
HRV,2018,1.47
HRV,2019,1.47
HRV,2020,1.48
HRV,2021,1.58
CYP,2010,1.44
CYP,2011,1.35
CYP,2012,1.39
CYP,2013,1.3
CYP,2014,1.31
CYP,2015,1.32
CYP,2016,1.37
CYP,2017,1.32
CYP,2018,1.32
CYP,2019,1.33
CYP,2020,1.36
CYP,2021,1.39
MLT,2010,1.36
MLT,2011,1.45
MLT,2012,1.42
MLT,2013,1.36
MLT,2014,1.38
MLT,2015,1.37
MLT,2016,1.37
MLT,2017,1.26
MLT,2018,1.23
MLT,2019,1.14
MLT,2020,1.13
MLT,2021,1.13
ROU,2010,1.59
ROU,2011,1.47
ROU,2012,1.52
ROU,2013,1.41
ROU,2014,1.52
ROU,2015,1.58
ROU,2016,1.64
ROU,2017,1.71
ROU,2018,1.76
ROU,2019,1.77
ROU,2020,1.8
ROU,2021,1.81
