LOCATION,TIME,Value
AUS,2010,2.91834
AUS,2011,3.30385
AUS,2012,1.76278
AUS,2013,2.449889
AUS,2014,2.487923
AUS,2015,1.508367
AUS,2016,1.276991
AUS,2017,1.948647
AUS,2018,1.911401
AUS,2019,1.610768
AUS,2020,0.8469055
AUS,2021,2.86391
AUS,2022,6.594097
AUT,2010,1.813532
AUT,2011,3.286583
AUT,2012,2.485675
AUT,2013,2.000158
AUT,2014,1.605806
AUT,2015,0.8965653
AUT,2016,0.8915924
AUT,2017,2.081269
AUT,2018,1.998382
AUT,2019,1.530896
AUT,2020,1.381909
AUT,2021,2.766667
AUT,2022,8.54687
BEL,2010,2.189299
BEL,2011,3.532082
BEL,2012,2.839664
BEL,2013,1.113096
BEL,2014,0.3400028
BEL,2015,0.5614291
BEL,2016,1.973853
BEL,2017,2.125971
BEL,2018,2.053165
BEL,2019,1.43682
BEL,2020,0.7407918
BEL,2021,2.440248
BEL,2022,9.597511
CAN,2010,1.776872
CAN,2011,2.912135
CAN,2012,1.515678
CAN,2013,0.9382919
CAN,2014,1.906636
CAN,2015,1.125241
CAN,2016,1.42876
CAN,2017,1.596884
CAN,2018,2.268226
CAN,2019,1.949269
CAN,2020,0.7169997
CAN,2021,3.395193
CAN,2022,6.802801
CZE,2010,1.472727
CZE,2011,1.917219
CZE,2012,3.287623
CZE,2013,1.438298
CZE,2014,0.3439886
CZE,2015,0.3093646
CZE,2016,0.6835042
CZE,2017,2.450534
CZE,2018,2.149495
CZE,2019,2.847876
CZE,2020,3.161295
CZE,2021,3.839845
CZE,2022,15.10017
DNK,2010,2.310924
DNK,2011,2.758682
DNK,2012,2.397915
DNK,2013,0.7890718
DNK,2014,0.5640205
DNK,2015,0.4520341
DNK,2016,0.25
DNK,2017,1.147132
DNK,2018,0.8136095
DNK,2019,0.7581316
DNK,2020,0.420712
DNK,2021,1.853045
DNK,2022,7.696567
FIN,2010,1.184135
FIN,2011,3.416809
FIN,2012,2.808332
FIN,2013,1.478288
FIN,2014,1.0412
FIN,2015,-0.207932
FIN,2016,0.3566845
FIN,2017,0.754015
FIN,2018,1.083821
FIN,2019,1.024094
FIN,2020,0.2905546
FIN,2021,2.194574
FIN,2022,7.123507
FRA,2010,1.531123
FRA,2011,2.111598
FRA,2012,1.954195
FRA,2013,0.8637155
FRA,2014,0.5077588
FRA,2015,0.03751438
FRA,2016,0.1833349
FRA,2017,1.032283
FRA,2018,1.850815
FRA,2019,1.108255
FRA,2020,0.4764988
FRA,2021,1.642331
FRA,2022,5.222367
DEU,2010,1.103809
DEU,2011,2.075173
DEU,2012,2.008491
DEU,2013,1.504722
DEU,2014,0.9067971
DEU,2015,0.514421
DEU,2016,0.4917486
DEU,2017,1.509497
DEU,2018,1.732168
DEU,2019,1.445667
DEU,2020,0.1448705
DEU,2021,3.066667
DEU,2022,6.872574
GRC,2010,4.712982
GRC,2011,3.32987
GRC,2012,1.50152
GRC,2013,-0.9212719
GRC,2014,-1.312242
GRC,2015,-1.735902
GRC,2016,-0.8256576
GRC,2017,1.121259
GRC,2018,0.6256205
GRC,2019,0.2529927
GRC,2020,-1.247972
GRC,2021,1.223826
GRC,2022,9.645261
HUN,2010,4.855558
HUN,2011,3.929921
HUN,2012,5.652145
HUN,2013,1.7332
HUN,2014,-0.2275663
HUN,2015,-0.06164468
HUN,2016,0.3947693
HUN,2017,2.348243
HUN,2018,2.850248
HUN,2019,3.338586
HUN,2020,3.326744
HUN,2021,5.110965
HUN,2022,14.60814
ISL,2010,5.396732
ISL,2011,4.001026
ISL,2012,5.1859
ISL,2013,3.872275
ISL,2014,2.044619
ISL,2015,1.633058
ISL,2016,1.69693
ISL,2017,1.760413
ISL,2018,2.682915
ISL,2019,3.013977
ISL,2020,2.847919
ISL,2021,4.444243
ISL,2022,8.308754
IRL,2010,-0.9220958
IRL,2011,2.557189
IRL,2012,1.696209
IRL,2013,0.5087149
IRL,2014,0.1825423
IRL,2015,-0.2898791
IRL,2016,0.008306338
IRL,2017,0.3405316
IRL,2018,0.4883702
IRL,2019,0.9390445
IRL,2020,-0.3345846
IRL,2021,2.358143
IRL,2022,7.807375
ITA,2010,1.525516
ITA,2011,2.780633
ITA,2012,3.041363
ITA,2013,1.219992
ITA,2014,0.2410575
ITA,2015,0.03878675
ITA,2016,-0.0940214
ITA,2017,1.226533
ITA,2018,1.137488
ITA,2019,0.6112469
ITA,2020,-0.1377076
ITA,2021,1.873783
ITA,2022,8.20129
JPN,2010,-0.7
JPN,2011,-0.275
JPN,2012,-0.04166667
JPN,2013,0.35
JPN,2014,2.733333
JPN,2015,0.8
JPN,2016,-0.1333333
JPN,2017,0.475
JPN,2018,0.9916667
JPN,2019,0.475
JPN,2020,-0.01666667
JPN,2021,-0.25
JPN,2022,2.508333
KOR,2010,2.939286
KOR,2011,4.025965
KOR,2012,2.187071
KOR,2013,1.301347
KOR,2014,1.274774
KOR,2015,0.7063318
KOR,2016,0.9716858
KOR,2017,1.944332
KOR,2018,1.475839
KOR,2019,0.3830003
KOR,2020,0.537288
KOR,2021,2.498333
KOR,2022,5.087888
LUX,2010,2.273679
LUX,2011,3.410683
LUX,2012,2.662842
LUX,2013,1.73404
LUX,2014,0.628544
LUX,2015,0.4747432
LUX,2016,0.2908333
LUX,2017,1.7308
LUX,2018,1.528195
LUX,2019,1.743321
LUX,2020,0.8199573
LUX,2021,2.52692
LUX,2022,6.336008
MEX,2010,4.156728
MEX,2011,3.40738
MEX,2012,4.111508
MEX,2013,3.80639
MEX,2014,4.018617
MEX,2015,2.720641
MEX,2016,2.821708
MEX,2017,6.041456
MEX,2018,4.899351
MEX,2019,3.635961
MEX,2020,3.396834
MEX,2021,5.689209
MEX,2022,7.896276
NLD,2010,1.275306
NLD,2011,2.34107
NLD,2012,2.455548
NLD,2013,2.506899
NLD,2014,0.9760351
NLD,2015,0.6002482
NLD,2016,0.3166667
NLD,2017,1.381459
NLD,2018,1.703498
NLD,2019,2.633699
NLD,2020,1.27246
NLD,2021,2.67572
NLD,2022,10.00121
NZL,2010,2.302026
NZL,2011,4.027903
NZL,2012,1.059918
NZL,2013,1.134418
NZL,2014,1.227513
NZL,2015,0.2927033
NZL,2016,0.6462373
NZL,2017,1.850787
NZL,2018,1.598298
NZL,2019,1.619632
NZL,2020,1.714562
NZL,2021,3.941121
NZL,2022,7.172225
NOR,2010,2.418906
NOR,2011,1.284952
NOR,2012,0.6968641
NOR,2013,2.120486
NOR,2014,2.041703
NOR,2015,2.171137
NOR,2016,3.55
NOR,2017,1.875101
NOR,2018,2.764831
NOR,2019,2.16773
NOR,2020,1.286585
NOR,2021,3.483881
