LOCATION,Year,Life_expectancy
AUS,2010,81.7
AUS,2011,81.9
AUS,2012,82
AUS,2013,82.1
AUS,2014,82.3
AUS,2015,82.4
AUS,2016,82.4
AUS,2017,82.5
AUS,2018,82.7
AUS,2019,82.9
AUS,2020,83.2
AUT,2010,80.7
AUT,2011,81.1
AUT,2012,81.1
AUT,2013,81.3
AUT,2014,81.6
AUT,2015,81.3
AUT,2016,81.8
AUT,2017,81.7
AUT,2018,81.8
AUT,2019,82
AUT,2020,81.3
AUT,2021,81.3
BEL,2010,80.3
BEL,2011,80.7
BEL,2012,80.5
BEL,2013,80.7
BEL,2014,81.4
BEL,2015,81.1
BEL,2016,81.5
BEL,2017,81.6
BEL,2018,81.7
BEL,2019,82.1
BEL,2020,80.8
BEL,2021,81.9
CAN,2010,81.4
CAN,2011,81.6
CAN,2012,81.8
CAN,2013,81.8
CAN,2014,81.9
CAN,2015,81.9
CAN,2016,82
CAN,2017,81.9
CAN,2018,81.9
CAN,2019,82.3
CAN,2020,81.7
CZE,2010,77.7
CZE,2011,78
CZE,2012,78.1
CZE,2013,78.3
CZE,2014,78.9
CZE,2015,78.7
CZE,2016,79.1
CZE,2017,79.1
CZE,2018,79.1
CZE,2019,79.3
CZE,2020,78.3
CZE,2021,77.4
DNK,2010,79.3
DNK,2011,79.9
DNK,2012,80.2
DNK,2013,80.4
DNK,2014,80.7
DNK,2015,80.8
DNK,2016,80.9
DNK,2017,81.1
DNK,2018,81
DNK,2019,81.5
DNK,2020,81.6
DNK,2021,81.4
FIN,2010,80.2
FIN,2011,80.6
FIN,2012,80.7
FIN,2013,81.1
FIN,2014,81.3
FIN,2015,81.6
FIN,2016,81.5
FIN,2017,81.7
FIN,2018,81.8
FIN,2019,82.1
FIN,2020,82
FIN,2021,82
FRA,2010,81.9
FRA,2011,82.3
FRA,2012,82.1
FRA,2013,82.4
FRA,2014,82.9
FRA,2015,82.4
FRA,2016,82.7
FRA,2017,82.7
FRA,2018,82.8
FRA,2019,83
FRA,2020,82.3
FRA,2021,82.5
DEU,2010,80.5
DEU,2011,80.6
DEU,2012,80.7
DEU,2013,80.6
DEU,2014,81.2
DEU,2015,80.7
DEU,2016,81
DEU,2017,81.1
DEU,2018,81
DEU,2019,81.3
DEU,2020,81.1
DEU,2021,80.9
GRC,2010,80.6
GRC,2011,80.8
GRC,2012,80.7
GRC,2013,81.4
GRC,2014,81.5
GRC,2015,81.1
GRC,2016,81.5
GRC,2017,81.4
GRC,2018,81.9
GRC,2019,81.7
