LOCATION,Year,Men_unemp
AUT,2010,3.8
AUT,2011,3.3
AUT,2012,4.1
AUT,2013,4.4
AUT,2014,4.8
AUT,2015,5
AUT,2016,5.1
AUT,2017,4.7
AUT,2018,3.8
AUT,2019,3.7
AUT,2020,4.7
AUT,2021,4.8
BEL,2010,6.7
BEL,2011,5.7
BEL,2012,5.8
BEL,2013,6.8
BEL,2014,7.2
BEL,2015,7.4
BEL,2016,6.5
BEL,2017,5.8
BEL,2018,4.9
BEL,2019,4.7
BEL,2020,4.8
BEL,2021,5.8
FIN,2010,8.9
FIN,2011,8.3
FIN,2012,8.1
FIN,2013,8.7
FIN,2014,9.1
FIN,2015,9.7
FIN,2016,8.9
FIN,2017,8.8
FIN,2018,7.3
FIN,2019,7.1
FIN,2020,7.6
FIN,2021,8
FRA,2010,8.4
FRA,2011,8.3
FRA,2012,8.7
FRA,2013,9.2
FRA,2014,9.8
FRA,2015,9.9
FRA,2016,9.5
FRA,2017,8.7
FRA,2018,8.4
FRA,2019,8
FRA,2020,7.5
FRA,2021,7.5
DEU,2010,7
DEU,2011,5.9
DEU,2012,5.1
DEU,2013,5.1
DEU,2014,4.8
DEU,2015,4.5
DEU,2016,3.9
DEU,2017,3.5
DEU,2018,3.2
DEU,2019,2.9
DEU,2020,3.1
DEU,2021,3.2
GRC,2010,9.4
GRC,2011,14.4
GRC,2012,20.3
GRC,2013,23.2
GRC,2014,22.6
GRC,2015,20.9
GRC,2016,19.1
GRC,2017,17.1
GRC,2018,14.8
GRC,2019,13.1
GRC,2020,13.6
GRC,2021,11.1
IRL,2010,16.9
IRL,2011,17.8
IRL,2012,17.8
IRL,2013,15
IRL,2014,13
IRL,2015,10.7
IRL,2016,9.2
IRL,2017,7.1
IRL,2018,5.8
IRL,2019,5.3
IRL,2020,5.5
IRL,2021,6.1
ITA,2010,7.4
ITA,2011,7.4
ITA,2012,9.7
ITA,2013,11.1
ITA,2014,11.6
ITA,2015,11.1
ITA,2016,10.8
ITA,2017,10.3
ITA,2018,9.7
ITA,2019,9
ITA,2020,8.3
ITA,2021,8.5
LUX,2010,2.4
LUX,2011,3
LUX,2012,3.7
LUX,2013,4.3
LUX,2014,4.7
LUX,2015,4.4
LUX,2016,3.9
LUX,2017,4.7
LUX,2018,4.7
LUX,2019,4.3
LUX,2020,5.8
LUX,2021,4.5
NLD,2010,4
NLD,2011,3.7
NLD,2012,4.8
NLD,2013,6.5
NLD,2014,6.5
NLD,2015,5.9
NLD,2016,5.1
NLD,2017,4
NLD,2018,3.4
NLD,2019,3.1
NLD,2020,4.2
NLD,2021,3.5
PRT,2010,10.2
PRT,2011,12.7
PRT,2012,16.2
PRT,2013,16.4
PRT,2014,13.9
PRT,2015,12.6
PRT,2016,11.4
PRT,2017,8.7
PRT,2018,6.9
PRT,2019,6.1
PRT,2020,6.7
PRT,2021,6.7
SVK,2010,14.3
SVK,2011,13.7
SVK,2012,13.6
SVK,2013,14
SVK,2014,12.9
SVK,2015,10.4
SVK,2016,8.8
SVK,2017,8
SVK,2018,6.2
SVK,2019,5.7
SVK,2020,6.2
SVK,2021,6.8
ESP,2010,16.9
ESP,2011,19.3
ESP,2012,22.3
ESP,2013,23.5
ESP,2014,21.8
ESP,2015,19.3
ESP,2016,17
ESP,2017,14.5
ESP,2018,12.7
ESP,2019,11.6
ESP,2020,12.3
ESP,2021,11.9
EST,2010,19.4
EST,2011,13.1
EST,2012,10.6
EST,2013,9
EST,2014,7.9
EST,2015,6.3
EST,2016,7.3
EST,2017,6.3
EST,2018,5.1
EST,2019,4
EST,2020,7.1
EST,2021,7
SVN,2010,7.4
SVN,2011,8.2
SVN,2012,8.6
SVN,2013,9.4
SVN,2014,8.9
SVN,2015,8
SVN,2016,7.4
SVN,2017,5.9
SVN,2018,4.7
SVN,2019,4
SVN,2020,4.5
SVN,2021,4.3
EU27,2010,9.1
EU27,2011,9.1
EU27,2012,9.8
LVA,2017,10
LVA,2018,8.7
LVA,2019,7.3
LVA,2020,9
LVA,2021,8.9
LTU,2018,7
LTU,2019,7.4
LTU,2020,9.4
LTU,2021,7.9
