LOCATION,Year,Nominal
AUT,2010,76.7975000000001
AUT,2011,81.5975000000001
AUT,2012,87.5700000000001
AUT,2013,92.1000000000001
AUT,2014,95.3300000000001
AUT,2015,100
AUT,2016,108.5325
AUT,2017,114.26
AUT,2018,119.64
AUT,2019,126.6
AUT,2020,136.31125
AUT,2021,153.2625
AUT,2022,171.045000002011
BEL,2010,91.9775
BEL,2011,95.67575
BEL,2012,97.8135
BEL,2013,98.962
BEL,2014,98.417
BEL,2015,100
BEL,2016,102.6405
BEL,2017,106.37275
BEL,2018,109.41525
BEL,2019,113.77875
BEL,2020,118.59525
BEL,2021,127.0575
BEL,2022,134.181749999783
CZE,2010,95.225
CZE,2011,95.25
CZE,2012,93.85
CZE,2013,93.875
CZE,2014,96.175
CZE,2015,100
CZE,2016,107.15
CZE,2017,119.7
CZE,2018,130
CZE,2019,141.9
CZE,2020,153.85
CZE,2021,184.225
CZE,2022,215.275000003929
DNK,2010,90.6729766824415
DNK,2011,89.1222228055569
DNK,2012,86.746966867417
DNK,2013,90.097725244313
DNK,2014,93.4987337468342
DNK,2015,100
DNK,2016,104.726511816279
DNK,2017,109.377773444433
DNK,2018,114.528786321966
DNK,2019,117.529793824484
DNK,2020,123.531308828272
DNK,2021,138.009845024613
DNK,2022,137.334593336905
FIN,2010,93.8824999999998
FIN,2011,96.8649999999998
FIN,2012,99.2049999999997
FIN,2013,100.3525
FIN,2014,99.9949999999998
FIN,2015,100
FIN,2016,101.285
FIN,2017,102.3875
FIN,2018,103.335
FIN,2019,103.77
FIN,2020,105.595
FIN,2021,110.4475
FIN,2022,111.752500001987
FRA,2010,100.575
FRA,2011,106.55
FRA,2012,105.975
FRA,2013,103.8
FRA,2014,101.925
FRA,2015,100
FRA,2016,100.925
FRA,2017,103.975
FRA,2018,107.125
FRA,2019,110.7
FRA,2020,116.825
FRA,2021,124.65
FRA,2022,132.575
DEU,2010,83.8712096780242
DEU,2011,86.7972169930424
DEU,2012,89.772724431811
DEU,2013,92.5982314955787
DEU,2014,95.4989887474718
DEU,2015,100
DEU,2016,107.527268818172
DEU,2017,114.103785259463
DEU,2018,121.68080420201
DEU,2019,128.707321768304
DEU,2020,138.684846712116
DEU,2021,154.739386848467
DEU,2022,162.916157284864
GRC,2010,152.88
GRC,2011,144.52275
GRC,2012,127.67075
GRC,2013,113.81625
GRC,2014,105.32025
GRC,2015,100
GRC,2016,97.6230000000002
GRC,2017,96.6342500000002
GRC,2018,98.3790000000001
GRC,2019,105.4815
GRC,2020,110.22325
GRC,2021,118.60575
GRC,2022,131.714750001967
HUN,2010,93.66
HUN,2011,90.4475
HUN,2012,87.0975
HUN,2013,84.87
HUN,2014,88.4275
HUN,2015,100
HUN,2016,113.3775
HUN,2017,127.24
HUN,2018,145.495
HUN,2019,170.1675
HUN,2020,178.5775
HUN,2021,208.0375
HUN,2022,253.582500049592
IRL,2010,105.976
IRL,2011,87.8815000000002
IRL,2012,76.0377500000002
IRL,2013,77.0045000000001
IRL,2014,89.7232500000002
IRL,2015,100
IRL,2016,107.4845
IRL,2017,119.16175
IRL,2018,131.3635
IRL,2019,134.43075
IRL,2020,134.84725
IRL,2021,145.999500000001
IRL,2022,163.968999999337
ITA,2010,118.1
ITA,2011,119.7
ITA,2012,116.65
ITA,2013,109.1
ITA,2014,103.95
ITA,2015,100
ITA,2016,100.25
ITA,2017,99.1750000000001
ITA,2018,98.6250000000001
ITA,2019,98.5250000000001
ITA,2020,100.4
ITA,2021,102.95
ITA,2022,106.900000003748
LUX,2010,80.1402003505008
LUX,2011,83.0874577186442
LUX,2012,86.575466438666
LUX,2013,90.894727236818
LUX,2014,94.8777371943429
LUX,2015,100
LUX,2016,106.006265015662
LUX,2017,111.95977989945
