LOCATION,Year,Population
AUS,2010,943323
AUS,2011,992802.546
AUS,2012,997651.363
AUS,2013,1104672.434
AUS,2014,1117601.897
AUS,2015,1124752.51
AUS,2016,1212854.276
AUS,2017,1247085.553
AUS,2018,1323863.624
AUS,2019,1337588.806
AUS,2020,1430866.404
AUS,2021,1595112.956
AUS,2022,1785955.318
AUT,2010,351323.808
AUT,2011,373031.477
AUT,2012,391635.176
AUT,2013,406370.245
AUT,2014,417059.519
AUT,2015,430975.924
AUT,2016,460282.647
AUT,2017,476590.588
AUT,2018,503361.417
AUT,2019,530169.037
AUT,2020,510568.008
AUT,2021,537014.574
AUT,2022,622665.496
BEL,2010,434058.868
BEL,2011,451932.625
BEL,2012,469720.336
BEL,2013,487343.796
BEL,2014,503619.623
BEL,2015,520877.807
BEL,2016,550677.566
BEL,2017,573788.528
BEL,2018,600269.926
BEL,2019,641140.355
BEL,2020,629660.776
BEL,2021,682137.395
BEL,2022,769613.396
CAN,2010,1363578.975
CAN,2011,1430807.125
CAN,2012,1468094.965
CAN,2013,1554122.745
CAN,2014,1621396.709
CAN,2015,1594850.842
CAN,2016,1678093.396
CAN,2017,1765763.154
CAN,2018,1852987.755
CAN,2019,1873760.081
CAN,2020,1794940.001
CAN,2021,2026899.115
CAN,2022,2221280.61
CZE,2010,292032.224
CZE,2011,304400.914
CZE,2012,307490.199
CZE,2013,324029.978
CZE,2014,342099.837
CZE,2015,357503.881
CZE,2016,381420.335
CZE,2017,411327.86
CZE,2018,437355.916
CZE,2019,471832.671
CZE,2020,458157.819
CZE,2021,479378.76
CZE,2022,534055.096
DNK,2010,238555.117
DNK,2011,247352.237
DNK,2012,250524.599
DNK,2013,262368.12
DNK,2014,270330.607
DNK,2015,278748.365
DNK,2016,297719.06
DNK,2017,319130.165
DNK,2018,333035.355
DNK,2019,348345.911
DNK,2020,354736.865
DNK,2021,380007.666
DNK,2022,442725.025
FIN,2010,208926.59
FIN,2011,220471.171
FIN,2012,221285.636
FIN,2013,225679.983
FIN,2014,228058.636
FIN,2015,232867.602
FIN,2016,246928.493
FIN,2017,262026.563
FIN,2018,273455.993
FIN,2019,286082.927
FIN,2020,289224.32
FIN,2021,303129.453
FIN,2022,332318.393
FRA,2010,2334557.742
FRA,2011,2446474.544
FRA,2012,2474005.287
FRA,2013,2608523.504
FRA,2014,2662032.873
FRA,2015,2718495.127
FRA,2016,2864105.631
FRA,2017,2983010.673
FRA,2018,3125379.86
FRA,2019,3403158.941
FRA,2020,3252531.255
FRA,2021,3479874.481
FRA,2022,3814783.882
DEU,2010,3185267.891
DEU,2011,3415019.966
DEU,2012,3487234.448
DEU,2013,3628559.337
DEU,2014,3807114.521
DEU,2015,3889081.896
DEU,2016,4165169.905
DEU,2017,4386729.188
DEU,2018,4576056.532
DEU,2019,4769328.306
DEU,2020,4697130.976
DEU,2021,4891842.639
DEU,2022,5371318.279
GRC,2010,310415.31
GRC,2011,285079.561
GRC,2012,275143.683
GRC,2013,284949.076
GRC,2014,290011.379
GRC,2015,289570.644
GRC,2016,296466.614
GRC,2017,307636.013
GRC,2018,317881.481
GRC,2019,334040.54
GRC,2020,304016.729
GRC,2021,333014.632
GRC,2022,393631.536
HUN,2010,217415.959
HUN,2011,229643.36
HUN,2012,230821.511
HUN,2013,242855.184
HUN,2014,253484.632
HUN,2015,263781.873
HUN,2016,274222.712
HUN,2017,288707.448
HUN,2018,311927.137
HUN,2019,338526.704
HUN,2020,333161.834
HUN,2021,357064.87
HUN,2022,413146.473
ISL,2010,12649.529
ISL,2011,13059.434
ISL,2012,13471.498
ISL,2013,14378.252
ISL,2014,15058.764
ISL,2015,16276.45
ISL,2016,17939.411
ISL,2017,19106.258
ISL,2018,20174.854
ISL,2019,21492.457
ISL,2020,19900.372
ISL,2021,21678.937
ISL,2022,25335.76
IRL,2010,197036.295
IRL,2011,206494.885
IRL,2012,213365.684
IRL,2013,221217.164
IRL,2014,238187.305
IRL,2015,324787.369
IRL,2016,340185.299
IRL,2017,374825.508
IRL,2018,412301.576
IRL,2019,442690.205
IRL,2020,468339.713
IRL,2021,536386.735
IRL,2022,656439.507
ITA,2010,2083996.379
ITA,2011,2173169.961
ITA,2012,2172383.108
ITA,2013,2187376.607
ITA,2014,2200256.409
ITA,2015,2240922.483
ITA,2016,2420672.141
ITA,2017,2517184.468
ITA,2018,2600326.872
ITA,2019,2735577.365
ITA,2020,2564455.924
ITA,2021,2760717.633
ITA,2022,3092145.9
JPN,2010,4525401.306
JPN,2011,4629400.467
JPN,2012,4799612.88
JPN,2013,5021591.104
JPN,2014,5034454.619
JPN,2015,5199915.223
JPN,2016,5158900.414
JPN,2017,5262254.967
JPN,2018,5344060.937
JPN,2019,5352898.847
JPN,2020,5263052.866
JPN,2021,5383426.681
JPN,2022,5843526.324
KOR,2010,1572680.44
KOR,2011,1625275.456
KOR,2012,1684562.928
KOR,2013,1726902.753
KOR,2014,1792600.237
KOR,2015,1933588.947
KOR,2016,2026967.822
KOR,2017,2103651.26
KOR,2018,2220442.286
KOR,2019,2247126.568
KOR,2020,2316806.899
KOR,2021,2425556.12
KOR,2022,2636923.276
LUX,2010,45806.816
LUX,2011,48970.83
LUX,2012,51308.749
LUX,2013,54838.627
LUX,2014,58578.312
LUX,2015,61437.294
LUX,2016,65980.114
LUX,2017,68570.173
LUX,2018,70825.278
LUX,2019,74115.971
LUX,2020,75656.711
LUX,2021,84175.446
LUX,2022,93962.589
MEX,2010,1740490.338
MEX,2011,1911319.096
MEX,2012,2012767.781
